Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	P093501_1 Spectral Count	P093502_2 Spectral Count	P093503_3 Spectral Count	P093504_4 Spectral Count	P093505_5 Spectral Count	P093506_6 Spectral Count	P093507_7 Spectral Count	P093508_8 Spectral Count	P093509_9 Spectral Count	P093510_10 Spectral Count	P093511_11 Spectral Count	P093512_12 Spectral Count	P093513_13 Spectral Count	P093514_14 Spectral Count	P093515_15 Spectral Count	P093516_16 Spectral Count	P093501_1 Unique Spectral Count	P093502_2 Unique Spectral Count	P093503_3 Unique Spectral Count	P093504_4 Unique Spectral Count	P093505_5 Unique Spectral Count	P093506_6 Unique Spectral Count	P093507_7 Unique Spectral Count	P093508_8 Unique Spectral Count	P093509_9 Unique Spectral Count	P093510_10 Unique Spectral Count	P093511_11 Unique Spectral Count	P093512_12 Unique Spectral Count	P093513_13 Unique Spectral Count	P093514_14 Unique Spectral Count	P093515_15 Unique Spectral Count	P093516_16 Unique Spectral Count	P093501_1 Total Spectral Count	P093502_2 Total Spectral Count	P093503_3 Total Spectral Count	P093504_4 Total Spectral Count	P093505_5 Total Spectral Count	P093506_6 Total Spectral Count	P093507_7 Total Spectral Count	P093508_8 Total Spectral Count	P093509_9 Total Spectral Count	P093510_10 Total Spectral Count	P093511_11 Total Spectral Count	P093512_12 Total Spectral Count	P093513_13 Total Spectral Count	P093514_14 Total Spectral Count	P093515_15 Total Spectral Count	P093516_16 Total Spectral Count	P093501_1 Intensity	P093502_2 Intensity	P093503_3 Intensity	P093504_4 Intensity	P093505_5 Intensity	P093506_6 Intensity	P093507_7 Intensity	P093508_8 Intensity	P093509_9 Intensity	P093510_10 Intensity	P093511_11 Intensity	P093512_12 Intensity	P093513_13 Intensity	P093514_14 Intensity	P093515_15 Intensity	P093516_16 Intensity	P093501_1 MaxLFQ Intensity	P093502_2 MaxLFQ Intensity	P093503_3 MaxLFQ Intensity	P093504_4 MaxLFQ Intensity	P093505_5 MaxLFQ Intensity	P093506_6 MaxLFQ Intensity	P093507_7 MaxLFQ Intensity	P093508_8 MaxLFQ Intensity	P093509_9 MaxLFQ Intensity	P093510_10 MaxLFQ Intensity	P093511_11 MaxLFQ Intensity	P093512_12 MaxLFQ Intensity	P093513_13 MaxLFQ Intensity	P093514_14 MaxLFQ Intensity	P093515_15 MaxLFQ Intensity	P093516_16 MaxLFQ Intensity	Indistinguishable Proteins
XP_044390094.1	XP_044390094.1			546				1.0	0.999	14	25	0	157	0	2	5	0	2	2	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	16	8	9	13	24	12	5	0	4	14	12	10	9	7	0.0	0.0	2.2478786E7	0.0	0.0	2.0887424E7	5.0899204E7	1.7409044E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5866598E7	0.0	0.0	1.5626294E7	2.3684902E7	1.5078118E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	XP_044390096.1, XP_044390097.1, XP_044398715.1, XP_044398716.1, XP_044398717.1, XP_044398718.1
XP_044390098.1	XP_044390098.1			734				0.9997	0.999	8	8	0	29	0	0	0	1	1	0	1	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	2	0	4	2	3	6	4	0	0	0	0.0	0.0	0.0	6.339997E7	4.4303212E7	0.0	3.296948E7	0.0	2.2650038E7	0.0	0.0	0.0	4.2937612E7	0.0	0.0	0.0	0.0	0.0	0.0	6.339997E7	4.4303212E7	0.0	3.296948E7	0.0	2.2650038E7	0.0	0.0	0.0	4.2937612E7	0.0	0.0	0.0	XP_044390099.1, XP_044390100.1, XP_044390101.1
XP_044390104.1	XP_044390104.1			406				1.0	0.999	17	19	19	193	0	0	1	0	1	0	2	1	3	2	2	2	2	3	0	0	0	0	1	0	1	0	2	1	3	2	2	2	2	3	0	0	0	2	15	7	12	9	16	9	11	13	17	25	25	27	5	0	0.0	0.0	808339.4	0.0	367102.25	0.0	834356.5	521572.72	563808.4	581474.4	604373.0	501207.0	614949.75	1796087.9	0.0	0.0	0.0	0.0	903279.75	0.0	410218.8	0.0	932352.6	582832.0	630028.3	649769.2	675357.3	560074.3	687176.3	497310.97	0.0	0.0	
XP_044390106.1	XP_044390106.1			200				1.0	0.999	9	150	0	150	1	1	12	14	7	8	10	13	10	6	7	19	16	15	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	14	7	8	10	13	10	6	7	19	16	15	7	4	2506116.0	5439448.0	3.5445492E7	3.474357E7	2.0007774E7	2.2831012E7	2.7408272E7	3.0467216E7	2.5010364E7	1.8756044E7	1.729632E7	3.2530416E7	2.5791988E7	3.2509212E7	1.71821E7	1.5685145E7	3201799.0	5422211.0	8534847.0	7169548.0	5217531.0	6341613.5	8419643.0	8361063.0	8023892.5	7210402.0	6235490.5	7805376.0	7757883.0	7208501.0	7659301.0	7302107.5	XP_044401849.1
XP_044390108.1	XP_044390108.1			697				1.0	0.999	30	147	57	824	5	6	15	9	12	12	15	11	8	6	8	11	14	8	4	3	2	2	12	3	5	4	8	4	2	3	3	3	3	2	1	0	32	35	79	89	69	74	70	76	40	29	43	45	52	40	29	22	5.6096876E7	2.0888875E8	2.6003602E8	3.3447507E8	2.692582E8	2.3847146E8	3.4620746E8	3.1051475E8	1.3824957E8	9.968968E7	2.1425846E8	1.6778166E8	1.5686634E8	2.3585253E8	9.643294E7	1.157266E8	9.606618E7	1.412965E8	1.5090437E8	1.7431006E8	1.5707184E8	1.673788E8	2.015847E8	2.1674229E8	8.9710216E7	4.401156E7	1.09320696E8	9.865323E7	9.068304E7	7.693994E7	5.5815268E7	5.629248E7	
XP_044390120.1	XP_044390120.1			573				0.9998	0.9987	22	3	0	495	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	75	18	28	49	18	23	22	33	27	32	32	32	34	10	9	1120022.1	5029750.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1120022.1	5029750.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044390126.1	XP_044390126.1			1874				1.0	0.9981	7	13	0	41	0	1	0	0	1	1	1	0	2	2	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	1	3	4	0	4	5	3	5	4	1	0	1	0.0	0.0	0.0	0.0	0.0	0.0	2456070.5	0.0	0.0	4542794.0	0.0	2324014.8	2290397.0	0.0	0.0	2.0786428E7	0.0	0.0	0.0	0.0	0.0	0.0	2456070.5	0.0	0.0	0.0	0.0	2324014.8	2290397.0	0.0	0.0	0.0	
XP_044390129.1	XP_044390129.1			236				1.0	0.999	8	102	15	102	0	4	9	4	4	5	6	1	13	13	10	8	8	9	6	2	0	1	1	1	1	0	2	0	2	1	1	1	2	1	1	0	0	4	9	4	4	5	6	1	13	13	10	8	8	9	6	2	0.0	7.633352E7	4.6819898E8	3.195217E8	5.0194464E7	1.9267858E8	2.0375883E8	6998439.5	1.8693627E9	5.0791187E8	4.0660262E8	4.8899574E8	5.5127904E8	2.0134998E8	1.8042984E8	5.2066544E7	0.0	8.713757E7	1.4416744E8	8.62905E7	6.1262548E7	8.015606E7	1.1756744E8	1.2732574E8	2.6185514E8	2.2826949E8	1.5378691E8	1.3906549E8	1.6770107E8	1.0708865E8	6.0907004E7	6.283219E7	
XP_044390135.1	XP_044390135.1			278				1.0	0.999	6	17	5	17	0	0	1	2	0	1	0	0	1	0	1	4	1	5	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1	2	0	1	0	0	1	0	1	4	1	5	1	0	0.0	0.0	2.422213E7	4.2605348E7	1947724.6	4.0703732E7	1.7942412E7	0.0	2.5440542E7	1.580742E7	3.3671896E7	1.340713E8	1.2162113E8	1.3155975E8	221857.38	0.0	0.0	0.0	2.0468298E7	2.0607764E7	3.4762476E7	1.9363136E7	1.5161781E7	0.0	2.1497886E7	1.335766E7	2.8871836E7	6.845258E7	6.134798E7	5.902025E7	3959652.0	0.0	
XP_044390140.1	XP_044390140.1			883				1.0	0.999	20	250	0	250	2	7	35	36	26	16	25	20	17	15	10	10	7	10	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	35	36	26	16	25	20	17	15	10	10	7	10	5	9	4512896.5	9885778.0	8.2219224E7	9.790731E7	7.221666E7	5.396394E7	6.1638332E7	5.713392E7	4.8611404E7	3.610958E7	2.3480772E7	6.3504436E7	3.5886616E7	2.9322086E7	6518616.0	1.2778272E8	1.2292354E7	9333152.0	1.6939944E7	1.8194032E7	1.457379E7	1.8976454E7	1.7240908E7	1.6526133E7	1.2878021E7	1.3494907E7	1.0831874E7	6172144.5	1.1650684E7	8237875.0	1.2783799E7	1.4933272E7	XP_044398753.1
XP_044390141.1	XP_044390141.1			398				1.0	0.999	26	722	251	1128	0	0	2	1	2	0	0	4	0	0	0	0	0	1	345	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	125	2	1	9	13	13	15	14	20	2	3	7	7	7	7	478	530	0.0	0.0	409576.16	0.0	2742236.5	0.0	0.0	5.877817E7	0.0	0.0	0.0	9.04567E7	3.851027E7	2.3741112E7	7.398199E10	1.3427368E11	0.0	0.0	1974141.2	0.0	4368277.0	0.0	0.0	6.4970124E7	0.0	0.0	0.0	6.772089E7	2.8830918E7	1.1443125E8	9.725438E9	1.6154887E10	
XP_044390142.1	XP_044390142.1			642				1.0	0.999	22	164	70	1180	0	1	22	19	16	12	14	9	11	6	6	11	11	18	4	4	0	0	9	8	7	5	5	5	5	3	1	5	5	8	2	2	23	26	118	127	101	110	110	56	67	61	60	77	74	98	36	36	0.0	4087740.5	3.619586E7	3.8200982E8	5.576386E8	2.304689E8	1.2617531E8	2.7494108E7	2.7253418E8	2.3303576E8	6.249158E8	1.6367186E8	8.66808E7	1.2416467E9	1.5666149E7	1.697629E7	0.0	4.771705E7	1.0916378E8	1.1403869E8	1.2036033E8	8.630957E7	9.434012E7	8.599742E7	7.79518E7	8.2620264E7	8.7602216E7	7.079451E7	6.597843E7	7.2428984E7	6.2900932E7	6.427333E7	
XP_044390143.1	XP_044390143.1			382				1.0	0.999	16	86	18	429	0	3	6	5	6	6	8	8	6	9	8	5	6	4	2	4	0	2	1	1	2	1	1	2	1	1	1	1	2	0	0	2	12	16	29	37	27	33	28	39	36	35	39	20	23	20	20	15	0.0	6.2386044E7	1.905319E8	1.2060642E8	1.6258992E8	8.311233E7	1.5202714E8	1.0217001E8	3.2641683E8	2.620342E8	2.4662813E8	1.4508581E8	1.899531E8	3.9142317E8	7.389928E7	1.1371406E8	0.0	7.583396E7	1.1535569E8	1.225769E8	7.436274E7	1.0121687E8	9.459201E7	1.1234182E8	1.6013232E8	1.652972E8	1.8284131E8	9.078465E7	1.0416078E8	5.4993384E7	7.967831E7	6.640188E7	
XP_044390146.1	XP_044390146.1			71				0.7628	0.9949	1	14	0	14	0	1	1	1	1	1	1	3	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	3	1	1	0	1	1	1	0	0	0.0	3.2870148E7	1.4812215E7	1.3245587E7	1.9248978E7	1.615316E7	1.5039034E7	2.7015918E7	4991904.0	9035155.0	0.0	7954927.0	8816012.0	1.0085091E7	6479475.0	0.0	0.0	3.2870148E7	1.4812215E7	1.3245587E7	1.9248978E7	1.615316E7	1.5039034E7	2.7015918E7	4991904.0	9035155.0	0.0	7954927.0	8816012.0	1.0085091E7	6479475.0	0.0	XP_044398760.1
XP_044390148.1	XP_044390148.1			349				0.9999	0.999	6	8	5	18	0	0	1	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	2	0	3	5	3	1	0	0	1	1	0	0	0	0.0	0.0	2.125044E7	1.4036088E7	0.0	3.359708E7	6.617956E7	3.2087428E7	5647145.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.125044E7	1.4036088E7	0.0	2.8306244E7	5.4638908E7	3.2087428E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044390149.1	XP_044390149.1			706				1.0	0.9961	12	1	1	60	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	9	6	4	8	5	1	2	2	2	2	5	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044390150.1	XP_044390150.1			464				1.0	0.9989	3	5	0	5	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9068874.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	XP_044398763.1
XP_044390151.1	XP_044390151.1			692				1.0	0.999	39	111	38	755	0	1	12	7	5	8	11	3	8	3	4	15	13	9	8	4	0	0	4	0	0	4	4	0	3	0	1	7	4	5	4	2	0	1	99	37	16	60	70	39	45	10	19	83	72	87	69	48	0.0	449844.16	2.3937566E7	4260897.5	939576.75	4.8401864E7	3.4205624E7	1927522.9	3.1017844E7	1326515.1	1270291.6	3.9477624E7	1.8314832E7	3.5234044E7	2.1024182E7	1.6249168E7	0.0	1210736.8	1.2996557E7	1.1468027E7	2528831.5	1.1211714E7	1.2358864E7	5187847.0	7440941.5	3570259.8	3418936.8	7289410.5	9595822.0	7693039.5	9510974.0	9850615.0	
XP_044390152.1	XP_044390152.1			702				1.0	0.999	26	9	9	482	0	0	1	1	2	0	0	1	0	0	0	2	2	0	0	0	0	0	1	1	2	0	0	1	0	0	0	2	2	0	0	0	0	8	62	51	34	32	34	30	37	13	15	54	59	48	3	2	0.0	0.0	5331818.0	4468303.0	3221143.0	0.0	0.0	0.0	0.0	0.0	0.0	5473750.0	4010319.8	0.0	0.0	0.0	0.0	0.0	5331818.0	4468303.0	3221143.0	0.0	0.0	0.0	0.0	0.0	0.0	5473750.0	4010319.8	0.0	0.0	0.0	
XP_044390153.1	XP_044390153.1			1414				1.0	0.999	55	24	24	823	0	0	1	4	6	3	3	2	0	0	0	1	3	1	0	0	0	0	1	4	6	3	3	2	0	0	0	1	3	1	0	0	4	4	65	123	65	66	68	42	34	22	25	67	93	115	16	14	0.0	0.0	8606865.0	3.5526056E7	3.057151E7	1.3685461E7	1.8446942E7	1.624052E7	0.0	0.0	0.0	1.0812559E7	2.085938E7	1.7045478E7	0.0	0.0	0.0	0.0	9269035.0	1.429638E7	1.2066428E7	7355876.0	1.0811975E7	8704482.0	0.0	0.0	0.0	1.1378818E7	1.1124013E7	9161955.0	0.0	0.0	
XP_044390157.1	XP_044390157.1			547				1.0	0.9979	10	5	1	35	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	2	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2680321E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044390158.1	XP_044390158.1			490				0.759	0.9948	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1310710.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	XP_044390166.1, XP_044390175.1, XP_044390182.1, XP_044390185.1, XP_044390193.1, XP_044448551.1, XP_044460169.1
XP_044390159.1	XP_044390159.1			511				0.9999	0.999	8	3	3	30	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	27	2	0	0	0	0	0	0	0.0	0.0	0.0	0.0	2845549.8	0.0	0.0	434165.16	2.2260628E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2845549.8	0.0	0.0	434165.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044390164.1	XP_044390164.1			1073				1.0	0.999	19	140	0	140	2	2	12	10	4	12	14	5	3	2	4	25	21	9	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	12	10	4	12	14	5	3	2	4	25	21	9	10	5	3.928712E7	1.14061544E8	1.9342424E8	1.30802616E8	6.0798716E7	1.001943E8	1.8387306E8	8.038407E7	9.495542E7	6.299242E7	1.2165802E8	3.4190474E8	4.022106E8	2.026035E8	8.452163E7	9.363934E7	2.9479824E7	6.0426132E7	8.8608776E7	6.473486E7	3.7868684E7	7.318021E7	8.571351E7	6.522165E7	6.802143E7	5.2309804E7	8.046395E7	1.4021552E8	1.3415055E8	7.017413E7	7.2067304E7	5.788678E7	XP_044390165.1
XP_044390167.1	XP_044390167.1			921				1.0	0.999	19	62	0	62	0	0	4	0	0	3	3	0	0	0	1	24	15	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	3	0	0	0	1	24	15	11	0	1	0.0	0.0	4.882556E7	514113.8	0.0	4152395.2	4.123265E7	0.0	0.0	0.0	0.0	2.3587136E8	2.0570091E8	1.7107246E8	0.0	5.0926346E9	0.0	0.0	1.6022769E7	1.3782921E7	0.0	1.5438343E7	1.2666808E7	0.0	0.0	0.0	0.0	3.189297E7	2.9241132E7	1.8137124E7	0.0	0.0	XP_044390168.1
XP_044390170.1	XP_044390170.1			490				1.0	0.999	5	36	0	36	0	0	8	9	3	6	6	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	3	6	6	1	2	0	1	0	0	0	0	0	0.0	0.0	1.0366248E7	1.8462284E7	9780966.0	1.560482E7	1.5394456E7	3560375.0	2.4391028E7	0.0	2829735.2	0.0	1930137.0	0.0	0.0	0.0	0.0	0.0	7091324.0	5997534.0	9323926.0	1.0294359E7	7922516.5	5210416.0	4078010.8	0.0	3676051.2	0.0	2507401.5	0.0	0.0	0.0	
XP_044390171.1	XP_044390171.1			828				0.9997	0.999	3	6	0	6	0	0	0	1	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4518075.5	0.0	0.0	0.0	810925.0	1456114.0	0.0	519136.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4518075.5	0.0	0.0	0.0	810925.0	1456114.0	0.0	519136.97	0.0	XP_044398850.1
XP_044390180.1	XP_044390180.1			437				1.0	0.999	11	133	1	133	2	1	9	8	6	5	8	8	16	15	13	9	11	12	7	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	9	8	6	5	8	8	16	15	13	9	11	12	7	3	447810.7	0.0	4.908407E7	7.799491E7	2.991472E7	6.979218E7	6.0410028E7	9.6108536E7	1.3124046E8	2.6229128E8	2.1658939E8	1.0356409E8	7.649084E7	4.9829296E7	7.615418E7	1.2611943E7	1.0651478E7	0.0	3.536177E7	4.908839E7	2.4550938E7	4.4826584E7	4.6619476E7	5.409062E7	7.9985E7	8.73718E7	8.625043E7	5.7840716E7	3.4582816E7	2.4250752E7	5.503269E7	6.4242372E7	
XP_044390181.1	XP_044390181.1			185				0.962	0.9977	3	4	4	10	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	2	2	2	0	0	0	0	0	0.0	0.0	2.1183128E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044390187.1	XP_044390187.1			324				0.9774	0.9984	11	15	0	180	0	1	1	1	0	2	1	0	2	0	0	1	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	4	14	8	14	8	7	12	7	7	10	11	25	20	21	0.0	1.0790677E7	0.0	6845378.5	0.0	2.9874826E7	2.244591E7	0.0	1.0313474E7	0.0	0.0	2.5696542E7	0.0	4876382.5	9539727.0	1.0449973E7	0.0	1.0790677E7	0.0	6845378.5	0.0	2.9874826E7	2.244591E7	0.0	1.0313474E7	0.0	0.0	2.5696542E7	0.0	4876382.5	7790630.0	8364407.0	
XP_044390189.1	XP_044390189.1			1790				0.9999	0.999	19	80	0	82	0	0	2	4	1	8	3	4	2	1	3	26	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	8	3	4	2	1	3	27	17	9	0	0	0.0	0.0	3.2357996E7	4.7969464E7	1.5366032E7	6.829007E7	7868696.5	5.105065E7	3.417795E7	7446542.5	4.6314464E7	2.6159011E8	8.387295E7	1.5293363E8	0.0	0.0	0.0	0.0	3.4632104E7	3.2692122E7	1.1154832E7	1.6847844E7	2.3802746E7	2.8153596E7	3.9125844E7	7969882.5	3.4493404E7	5.7860972E7	3.7187252E7	5.4818276E7	0.0	0.0	XP_044390190.1, XP_044390191.1
XP_044390197.1	XP_044390197.1			389				1.0	0.999	10	46	14	171	1	2	5	9	4	5	6	10	0	0	0	0	0	0	2	2	1	0	1	6	1	1	2	2	0	0	0	0	0	0	0	0	4	6	18	22	14	29	25	28	0	0	0	0	1	1	8	15	1.2788479E7	1.2667496E7	9.277902E7	1.3534749E8	8.4045816E7	7.43676E7	1.0257497E8	1.6846803E8	0.0	0.0	0.0	0.0	0.0	0.0	2.6141782E7	1.0103001E8	1.7272838E7	1.4363481E7	4.0090476E7	2.8782244E7	3.650636E7	4.6130308E7	5.0841412E7	7.417404E7	0.0	0.0	0.0	0.0	0.0	0.0	2.964177E7	1.1455639E8	
XP_044390199.1	XP_044390199.1			785				0.9997	0.9987	3	2	0	28	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	2	2	1	1	1	2	2	2	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044390200.1	XP_044390200.1			689				1.0	0.999	10	4	3	38	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	12	2	7	3	3	2	0	0	0	4	0	4	0	0	0.0	0.0	1705561.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1183594.9	0.0	0.0	0.0	0.0	1032236.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1183594.9	0.0	0.0	
XP_044390201.1	XP_044390201.1			1001				1.0	0.999	20	17	0	203	0	0	5	5	0	4	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	23	30	21	21	23	8	4	4	6	15	12	21	6	5	0.0	0.0	1.741055E7	1.3375458E7	0.0	1.3925682E7	1.2981436E7	1.0875624E7	0.0	0.0	3108003.5	0.0	6634984.0	0.0	0.0	0.0	0.0	0.0	9614041.0	9611510.0	0.0	9504780.0	1.1763767E7	9855482.0	0.0	0.0	5.9911676E7	0.0	6012617.0	0.0	0.0	0.0	XP_044390202.1, XP_044390203.1
XP_044390205.1	XP_044390205.1			748				1.0	0.999	23	23	9	161	0	0	2	4	1	3	2	2	0	0	0	3	4	2	0	0	0	0	1	2	0	1	1	1	0	0	0	1	1	1	0	0	0	0	11	21	17	19	12	10	3	1	4	24	17	21	1	0	0.0	0.0	2.123321E7	4.491288E7	1677426.0	5.310129E7	1.636708E7	1.5340898E7	0.0	0.0	0.0	2.050501E7	1.981054E7	8044590.5	0.0	0.0	0.0	0.0	9125556.0	1.1914971E7	5650230.0	1.0149956E7	9824889.0	1.0421494E7	0.0	0.0	0.0	1.589145E7	1.3291272E7	1.5618337E7	0.0	0.0	
XP_044390206.1	XP_044390206.1			590				1.0	0.999	17	96	0	96	3	13	7	4	12	4	3	1	1	0	1	9	7	23	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	7	4	12	4	3	1	1	0	1	9	7	23	5	3	0.0	6.748309E7	9.61149E7	5.7047796E7	1.4419786E8	4.990224E7	7.50533E7	1.4257244E7	2.3550786E7	0.0	0.0	1.2441575E8	2.0576534E8	3.4417818E8	6.5876444E7	1.0540898E8	0.0	9.517692E7	4.076979E7	2.2312588E7	7.983638E7	3.9322256E7	3.689419E7	3.081217E7	3.679153E7	0.0	0.0	6.2804604E7	5.504561E7	8.422916E7	3.9715772E7	2.2780555E8	
XP_044390208.1	XP_044390208.1			453				0.9927	0.9951	2	32	0	32	0	0	4	4	4	4	3	1	3	3	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	3	1	3	3	0	2	2	0	1	1	0.0	0.0	1.699528E7	4.1442976E7	4.9739044E7	1.9082678E7	1.8746226E7	3.1336626E7	1.6179424E7	1.4567145E7	0.0	1.9970834E7	1.06828344E8	5446940.0	1.0239772E7	1.779373E7	0.0	0.0	2.0333562E7	4.9583372E7	5.9508988E7	2.2830976E7	2.2428436E7	3.7491892E7	1.9357452E7	1.7428482E7	0.0	2.3893586E7	1.1318858E7	6516850.0	1.225111E7	2.1288846E7	XP_044390209.1, XP_044390210.1, XP_044390211.1, XP_044390212.1, XP_044390213.1, XP_044390214.1
XP_044390215.1	XP_044390215.1			852				1.0	0.999	4	8	0	8	0	0	0	0	0	0	0	0	0	0	0	1	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7315453.0	0.0	4457138.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7315453.0	0.0	4457138.5	0.0	
